variant_id,price1_id,price1_amount,price2_id,price2_amount
4402,4671,64.80,4672,64.80
4403,4673,17.50,4674,21.00
4404,4675,1.80,4676,1.80
4405,4677,0.00,4678,0.00
4406,4679,4.00,4681,4.00
4407,4682,0.00,4683,0.00
4408,4684,4.50,4685,3.90
4409,4686,9.45,4687,9.45
4410,4688,1.00,4689,1.00
4411,4690,4.90,4691,4.90
4412,4692,750.00,4693,750.00
4413,4694,3.80,4695,3.80
4414,4696,21.00,4697,21.00
4415,4698,25.50,4699,25.50
4416,4700,12.00,4701,21.90
4417,4702,6.00,4703,6.00
4418,4704,6.00,4705,6.00
4419,4706,2.52,4707,2.52
4420,4708,2.75,4709,2.75
4421,4710,6.00,4711,6.00
4422,4712,17.95,4713,17.95
4423,4714,4.95,4715,4.95
4424,4716,19.00,4717,19.00
4425,4718,19.60,4719,22.00
4426,4720,9.95,4721,9.95
4427,4722,7.95,4723,7.95
4428,4724,11.00,4725,11.00
4429,4726,2.50,4727,2.75
4430,4728,11.20,4729,11.20
4431,4730,9.00,4731,9.00
4432,4732,11.00,4733,13.00
4433,4734,4.40,4735,4.40
4434,4736,70.00,4737,70.00
4435,4738,14.00,4739,14.00
4436,4740,1.85,4741,2.95
4437,4742,45.00,4743,45.00
4438,4744,39.50,4745,39.50
4439,4746,15.00,4747,15.00
4440,4748,17.35,4749,31.50
4441,4750,3.70,4751,4.50
4442,4752,131.50,4753,131.50
4443,4754,3.50,4755,3.50
4444,4756,8.00,4757,8.00
4445,4758,1.60,4759,1.60
4446,4760,2.80,4761,2.80
4447,4762,28.00,4763,20.00
4448,4764,3.50,4765,4.80
4449,4766,2.50,4767,2.50
4450,4768,0.00,4769,0.00
4451,4770,4.98,4771,4.98
4452,4772,7.50,4773,7.50
4453,4774,2.70,4775,2.70
4454,4776,5.90,4777,4.60
4455,4778,5.00,4779,5.00
4456,4780,50.00,4781,50.00
4457,4782,9.75,4783,10.50
4458,4784,13.50,4785,13.50
4459,4786,29.00,4787,29.00
4460,4788,46.50,4789,41.50
4461,4790,6.00,4791,6.00
4462,4792,8.00,4793,8.00
4463,4794,150.00,4795,150.00
4464,4796,5.00,4797,6.00
4465,4798,2.60,4799,2.60
4466,4800,4.60,4801,4.60
4467,4802,3.00,4803,3.00
4468,4804,12.00,4805,12.00
4469,4806,45.00,4807,45.00
4470,4808,11.60,4809,12.00
4471,4810,6.60,4811,6.60
4472,4812,25.00,4813,25.00
4473,4814,79.00,4815,79.00
4474,4816,25.00,4817,40.00
4475,4818,5.00,4820,5.00
4476,4821,19.00,4822,19.00
4477,4823,4.00,4824,4.00
4478,4825,15.00,4826,15.00
4479,4827,46.00,4828,46.00
4480,4829,3.60,4830,3.60
4481,4831,30.00,4832,20.00
4482,4833,12.00,4834,12.00
4483,4835,25.00,4836,25.00
4484,4837,62.00,4838,62.00
4485,4839,1.80,4840,1.80
4486,4841,2.40,4842,2.00
4487,4843,55.00,4844,55.00
4488,4845,87.50,4846,87.50
4489,4847,30.00,4848,30.00
4490,4849,17.50,4850,17.50
4491,4851,12.00,4852,23.16
4492,4853,7.50,4854,7.50
4493,4855,8.30,4856,8.30
4494,4857,8.00,4858,8.00
4495,4859,0.00,4860,1260.00
4496,4861,3.00,4862,3.00
4497,4863,37.95,4864,37.95
4498,4865,2.40,4866,2.00
4499,4867,20.00,4868,20.00
4500,4869,3.00,4870,3.00
4501,4871,31.00,4872,29.00
4502,4873,12.00,4874,12.00
4503,4875,156.00,4876,230.00
4504,4877,25.00,4878,25.00
4505,4879,58.50,4880,58.50
4506,4881,0.00,4883,0.00
4507,4884,17.00,4885,15.00
4508,4886,2.85,4887,3.00
4509,4888,350.00,4889,440.00
