producer,sku,name,display_name,category,description,units,unit_type,variant_unit_name,price,on_hand,on_demand,shipping_category,tax_category
User Enterprise,1,Imported Product 1,Orange Tree,Vegetables,,1,g,,2,100,,Shipping Category Name,Tax Category Name
User Enterprise,2,Imported Product 2,Orange Tree,Vegetables,,2,g,,3,101,,Shipping Category Name,Tax Category Name
User Enterprise,3,Imported Product 3,Orange Tree,Vegetables,,3,g,,4,102,,Shipping Category Name,Tax Category Name
User Enterprise,4,Imported Product 4,Orange Tree,Vegetables,,4,g,,5,103,,Shipping Category Name,Tax Category Name
User Enterprise,5,Imported Product 5,Orange Tree,Vegetables,,5,g,,6,104,,Shipping Category Name,Tax Category Name
User Enterprise,6,Imported Product 6,Orange Tree,Vegetables,,6,g,,7,105,,Shipping Category Name,Tax Category Name
User Enterprise,7,Imported Product 7,Orange Tree,Vegetables,,7,g,,8,106,,Shipping Category Name,Tax Category Name
User Enterprise,8,Imported Product 8,Orange Tree,Vegetables,,8,g,,9,107,,Shipping Category Name,Tax Category Name
User Enterprise,9,Imported Product 9,Orange Tree,Vegetables,,9,g,,10,108,,Shipping Category Name,Tax Category Name
User Enterprise,10,Imported Product 10,Orange Tree,Vegetables,,10,g,,11,109,,Shipping Category Name,Tax Category Name
User Enterprise,11,Imported Product 11,Orange Tree,Vegetables,,11,g,,12,110,,Shipping Category Name,Tax Category Name
User Enterprise,12,Imported Product 12,Orange Tree,Vegetables,,12,g,,13,111,,Shipping Category Name,Tax Category Name
User Enterprise,13,Imported Product 13,Orange Tree,Vegetables,,13,g,,14,112,,Shipping Category Name,Tax Category Name
User Enterprise,14,Imported Product 14,Orange Tree,Vegetables,,14,g,,15,113,,Shipping Category Name,Tax Category Name
User Enterprise,15,Imported Product 15,Orange Tree,Vegetables,,15,g,,16,114,,Shipping Category Name,Tax Category Name
User Enterprise,16,Imported Product 16,Orange Tree,Vegetables,,16,g,,17,115,,Shipping Category Name,Tax Category Name
User Enterprise,17,Imported Product 17,Orange Tree,Vegetables,,17,g,,18,116,,Shipping Category Name,Tax Category Name
User Enterprise,18,Imported Product 18,Orange Tree,Vegetables,,18,g,,19,117,,Shipping Category Name,Tax Category Name
User Enterprise,19,Imported Product 19,Orange Tree,Vegetables,,19,g,,20,118,,Shipping Category Name,Tax Category Name
User Enterprise,20,Imported Product 20,Orange Tree,Vegetables,,20,g,,21,119,,Shipping Category Name,Tax Category Name
User Enterprise,21,Imported Product 21,Orange Tree,Vegetables,,21,g,,22,120,,Shipping Category Name,Tax Category Name
User Enterprise,22,Imported Product 22,Orange Tree,Vegetables,,22,g,,23,121,,Shipping Category Name,Tax Category Name
User Enterprise,23,Imported Product 23,Orange Tree,Vegetables,,23,g,,24,122,,Shipping Category Name,Tax Category Name
User Enterprise,24,Imported Product 24,Orange Tree,Vegetables,,24,g,,25,123,,Shipping Category Name,Tax Category Name
User Enterprise,25,Imported Product 25,Orange Tree,Vegetables,,25,g,,26,124,,Shipping Category Name,Tax Category Name
User Enterprise,26,Imported Product 26,Orange Tree,Vegetables,,26,g,,27,125,,Shipping Category Name,Tax Category Name
